SIGLA;CÓDIGO;DISCIPLINA;
NHH2010-13;BH1204;Ética: perspectivas contemporâneas;
NHZ1024-09;NH1007;Etnofarmacologia;
NHT1025-13;BC1329;Evolução;
NHZ3008-09;NH2431;Evolução da Fìsica;
MCTB013-13;BC1438;Evolução dos Conceitos Matemáticos;
NHZ1026-09;NH1011;Evolução Molecular;
NHZ2011-11;NH5111;Existencialismo;
NHT4015-13;NH3109;Experimentação e Ensino de Química;
NHT3027-08;NH2601;Experimentos de Física Básica;
MCTB014-13;MC2108;Extensões Algébricas;
NHZ1027-09;NH1008;Farmacologia;
ESHP007-13;BH1126;Federalismo e Políticas Públicas;
NHH2012-13;BH1201;Fenomenologia e Filosofia Hermenêutica ;
BCJ0209-13;BC0209;Fenômenos Eletromagnéticos;
BCJ0208-13;BC0208;Fenômenos Mecânicos;
NHT3009-13;BC1317;Fenômenos Ondulatórios;
BCJ0205-13;BC0205;Fenômenos Térmicos;
NHZ2013-11;NH5113;Filosofia Brasileira: História e Problemas;
NHZ2014-11;NH5104;Filosofia da Ciência Pós-kuhniana;
NHH2015-13;BH1400;Filosofia da Ciência: em torno à concepção ortodoxa;
NHH2016-13;BH1401;Filosofia da Ciência: o debate Popper-Kuhn e seus desdobramentos ;
NHH2017-13;BH1209;Filosofia da Educação;
NHZ2018-11;NH4514;Filosofia da Educação: perspectivas contemporâneas ;
NHH2019-13;BH1206;Filosofia da Linguagem;
NHH2020-13;BH1207;Filosofia da Lógica;
NHZ2021-11;NH5121;Filosofia da Mente;
NHZ2022-11;NH5102;Filosofia da Natureza, Mecanicismo e Cosmologia;
NHI5010-13;BC1609;Filosofia da Religião;
NHH2023-13;BH1221;Filosofia do Ensino de Filosofia;
NHZ2024-11;NH5103;Filosofia Experimental e Mecanicismo;
NHZ2025-11;NH5114;Filosofia Latino-Americana: História e Problemas;
NHZ2080-11;BH2201;Filosofia Moderna (Ciência em Descartes);
NHH2026-13;BH1216;Filosofia no Brasil e na América Latina;
NHZ2027-11;NH4513;Filosofia no Ensino Fundamental ;
NHH2028-13;BH1218;Filosofia Política;
NHH2029-13;BH1208;Filosofia Política: perspectivas contemporâneas;
ESZI002-13;EN3604;Filtragem Adaptativa;
ESHC016-13;BH1138;Finanças Corporativas;
ESZC008-13;CS3205;Finanças I (Apreçamento de Ativos);
ESZC009-13;CS3206;Finanças II (Apreçamento de Ativos);
ESHC017-13;BH1106;Finanças Públicas;
ESZG025-13;EN3541;Finanças, Gestão e Administração Financeira;
NHZ3010-09;NH2043;Física Computacional;
ESZE040-13;EN3438;Física de Reatores Nucleares I;
ESZE041-13;EN3440;Física de Reatores Nucleares II;
NHZ3011-09;NH2231;Física de Semicondutores;
NHT3012-13;BC1319;Física do Contínuo;
ESZX021-13;EN3314;Física do Corpo Humano;
BCK0103-13;BC0103;Física Quântica;
NHT3013-13;NH4198;Física Térmica;
NHT4016-13;NH3004;Físico-Química Experimental;
NHZ3014-09;NH2031;Fluidos Quânticos;
ESTE002-13;EN2420;Fontes Não-Renováveis de Energia;
ESTE001-13;EN2419;Fontes Renováveis de Energia;
ESZP019-13;CS4111;Formação das Políticas e do Sistema de Saúde no Brasil;
ESZP020-13;CS4112;Formação das Políticas Educacionais no Brasil;
ESZX121-13;BC1617;Formação do Brasil Contemporâneo;
ESHC018-13;BH1131;Formação Econômica do Brasil;
ESHR006-13;BH1332;Formação Histórica da America Latina ;
ESHP008-13;BH1302;Formação Histórica do Brasil;
ESZP021-13;CS4113;Formação Política do Brasil;
MCZB008-13;MC2402;Formas Diferenciais;
ESTA006-13;EN2708;Fotônica;
NHT3015-13;BC1417;Funções Complexas e Transformadas Integrais;
BCN0402-13;BC0402;Funções de Uma Variável;
BCN0407-13;BC0407;Funções de Várias Variáveis;
MCTB015-13;MC1102;Funções de Variáveis Complexas;
NHT4017-13;NH3601;Funções e Reações Orgânicas;
NHT3016-13;BC1420;Funções Especiais;
ESZX120-13;BC1616;Fundamentos da Economia;
NHT3017-13;NH2802;Fundamentos da Eletrodinâmica;
NHT3018-13;NH2801;Fundamentos da Eletrostática;
NHZ2030-11;NH5124;Fundamentos da Lógica Modal;
NHZ3019-09;NH2021;Fundamentos da Mecânica dos Fluidos;
NHZ3020-09;NH2133;Fundamentos da Relatividade Geral;
MCTD005-13;MC8102;Fundamentos de Álgebra;
MCTD006-13;MC8303;Fundamentos de Análise;
ESZX063-13;EN3614;Fundamentos de Computação Gráfica;
ESTO003-13;BC1416;Fundamentos de Desenho e Projeto;
ESZU007-13;EN3122;Fundamentos de Economia e Sociologia Urbana;
ESTX073-13;EN2701;Fundamentos de Eletrônica;
ESZX125-13;BC1316;Fundamentos de Geologia;
