BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A2-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;quinta das 19:00 às 22:00, sala L602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A2-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;quinta das 19:00 às 22:00, sala A1-L302-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A3-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala L605, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A3-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;quinta das 08:00 às 11:00, sala A1-L305-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A3-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;quinta das 19:00 às 22:00, sala L605, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A3-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;quinta das 19:00 às 22:00, sala A1-L305-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA4BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A4-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala L606, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA4BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A4-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;quinta das 19:00 às 22:00, sala L606, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA5BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A5-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala 404-3, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA5BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A5-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;quinta das 19:00 às 22:00, sala 404-3, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA6BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A6-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala 405-3, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA6BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A6-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;quinta das 19:00 às 22:00, sala 405-3, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA7BC0001SA;;0;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A7-Noturno (Santo André);0;3;2 ;0 ;0 ;Manter;¬0¬;;TURMA CANCELADA DEVIDO A QUANTIDADE RE REINGRESSNTES DO NOTURNO QUE JÁ FIZERAM ESTA DISCIPLINA;0;SA;N;0;quinta das 19:00 às 22:00, sala 408-3, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B1-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;segunda das 08:00 às 11:00, sala L601/602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B1-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;segunda das 08:00 às 11:00, sala A1-L301-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais B1-Noturno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;N;0;segunda das 19:00 às 22:00, sala L601/602, semanal ;;;;;;;;;
